Seq,AOU,English_Common_Name,French_Common_Name,Order,Family,Genus,Species
364,320,Razorbill,Petit Pingouin,Charadriiformes,Alcidae,Alca,torda
365,270,Black Guillemot,Guillemot à miroir,Charadriiformes,Alcidae,Cepphus,grylle
366,290,Pigeon Guillemot,Guillemot colombin,Charadriiformes,Alcidae,Cepphus,columba
367,230,Marbled Murrelet,Guillemot marbré,Charadriiformes,Alcidae,Brachyramphus,marmoratus
368,240,Kittlitz's Murrelet,Guillemot de Kittlitz,Charadriiformes,Alcidae,Brachyramphus,brevirostris
372,210,Ancient Murrelet,Guillemot à cou blanc,Charadriiformes,Alcidae,Synthliboramphus,antiquus
373,160,Cassin's Auklet,Starique de Cassin,Charadriiformes,Alcidae,Ptychoramphus,aleuticus
378,150,Rhinoceros Auklet,Macareux rhinocéros,Charadriiformes,Alcidae,Cerorhinca,monocerata
380,140,Horned Puffin,Macareux cornu,Charadriiformes,Alcidae,Fratercula,corniculata
381,120,Tufted Puffin,Macareux huppé,Charadriiformes,Alcidae,Fratercula,cirrhata
382,400,Black-legged Kittiwake,Mouette tridactyle,Charadriiformes,Laridae,Rissa,tridactyla
384,390,Ivory Gull,Mouette blanche,Charadriiformes,Laridae,Pagophila,eburnea
385,620,Sabine's Gull,Mouette de Sabine,Charadriiformes,Laridae,Xema,sabini
386,600,Bonaparte's Gull,Mouette de Bonaparte,Charadriiformes,Laridae,Chroicocephalus,philadelphia
387,551,Black-headed Gull,Mouette rieuse,Charadriiformes,Laridae,Chroicocephalus,ridibundus
388,601,Little Gull,Mouette pygmée,Charadriiformes,Laridae,Hydrocoloeus,minutus
389,610,Ross's Gull,Mouette rosée,Charadriiformes,Laridae,Rhodostethia,rosea
390,580,Laughing Gull,Mouette atricille,Charadriiformes,Laridae,Leucophaeus,atricilla
391,590,Franklin's Gull,Mouette de Franklin,Charadriiformes,Laridae,Leucophaeus,pipixcan
392,570,Heermann's Gull,Goéland de Heermann,Charadriiformes,Laridae,Larus,heermanni
393,550,Short-billed Gull,Goéland à bec court,Charadriiformes,Laridae,Larus,brachyrhynchus
394,540,Ring-billed Gull,Goéland à bec cerclé,Charadriiformes,Laridae,Larus,delawarensis
395,490,Western Gull,Goéland d'Audubon,Charadriiformes,Laridae,Larus,occidentalis
397,530,California Gull,Goéland de Californie,Charadriiformes,Laridae,Larus,californicus
398,510,Herring Gull,Goéland argenté,Charadriiformes,Laridae,Larus,argentatus
399,430,Iceland Gull,Goéland arctique,Charadriiformes,Laridae,Larus,glaucoides
400,500,Lesser Black-backed Gull,Goéland brun,Charadriiformes,Laridae,Larus,fuscus
401,480,Slaty-backed Gull,Goéland à manteau ardoisé,Charadriiformes,Laridae,Larus,schistisagus
402,440,Glaucous-winged Gull,Goéland à ailes grises,Charadriiformes,Laridae,Larus,glaucescens
403,495,hybrid Western Gull x Glaucous-winged Gull,hybride Goéland à ailes grises x d'Audubon,Charadriiformes,Laridae,Larus,occidentalis x glaucescens
404,420,Glaucous Gull,Goéland bourgmestre,Charadriiformes,Laridae,Larus,hyperboreus
405,470,Great Black-backed Gull,Goéland marin,Charadriiformes,Laridae,Larus,marinus
407,534,unid. gull,unid Goéland sp.,Charadriiformes,Laridae,Gull,sp.
413,730,Aleutian Tern,Sterne des Aléoutiennes,Charadriiformes,Laridae,Onychoprion,aleuticus
414,740,Least Tern,Petite Sterne,Charadriiformes,Laridae,Sternula,antillarum
415,630,Gull-billed Tern,Sterne hansel,Charadriiformes,Laridae,Gelochelidon,nilotica
416,640,Caspian Tern,Sterne caspienne,Charadriiformes,Laridae,Hydroprogne,caspia
417,770,Black Tern,Guifette noire,Charadriiformes,Laridae,Chlidonias,niger
418,720,Roseate Tern,Sterne de Dougall,Charadriiformes,Laridae,Sterna,dougallii
419,700,Common Tern,Sterne pierregarin,Charadriiformes,Laridae,Sterna,hirundo
420,710,Arctic Tern,Sterne arctique,Charadriiformes,Laridae,Sterna,paradisaea
421,690,Forster's Tern,Sterne de Forster,Charadriiformes,Laridae,Sterna,forsteri
422,650,Royal Tern,Sterne royale,Charadriiformes,Laridae,Thalasseus,maximus
423,670,Sandwich Tern,Sterne caugek,Charadriiformes,Laridae,Thalasseus,sandvicensis
424,660,Elegant Tern,Sterne élégante,Charadriiformes,Laridae,Thalasseus,elegans
425,634,unid. tern,unid Sterne sp.,Charadriiformes,Laridae,Tern,sp.
426,800,Black Skimmer,Bec-en-ciseaux noir,Charadriiformes,Laridae,Rynchops,niger
429,1130,Red-billed Tropicbird,Phaéton à bec rouge,Phaethontiformes,Phaethontidae,Phaethon,aethereus
431,110,Red-throated Loon,Plongeon catmarin,Gaviiformes,Gaviidae,Gavia,stellata
432,90,Arctic Loon,Plongeon arctique,Gaviiformes,Gaviidae,Gavia,arctica
433,100,Pacific Loon,Plongeon du Pacifique,Gaviiformes,Gaviidae,Gavia,pacifica
434,70,Common Loon,Plongeon huard,Gaviiformes,Gaviidae,Gavia,immer
435,80,Yellow-billed Loon,Plongeon à bec blanc,Gaviiformes,Gaviidae,Gavia,adamsii
